ticker,first_date,last_date,row_count
6301.T,2003-01-02,2026-03-13,5756
6302.T,2003-01-02,2026-03-13,5756
6305.T,2003-01-02,2026-03-13,5756
6326.T,2003-01-02,2026-03-13,5756
6361.T,2003-01-02,2026-03-13,5756
6366.T,2003-01-02,2026-03-13,5756
6367.T,2003-01-02,2026-03-13,5756
6471.T,2003-01-02,2026-03-13,5756
6472.T,2003-01-02,2026-03-13,5756
6473.T,2003-01-02,2026-03-13,5756
6474.T,2003-01-02,2026-03-13,5756
6479.T,2003-01-02,2026-03-13,5756
6501.T,2003-01-02,2026-03-13,5756
6503.T,2003-01-02,2026-03-13,5756
6504.T,2003-01-02,2026-03-13,5756
6506.T,2003-01-02,2026-03-13,5756
6508.T,2003-01-02,2026-03-13,5756
6526.T,2022-10-12,2026-03-13,837
6532.T,2016-09-02,2026-03-13,2347
6594.T,2003-01-02,2026-03-13,5756
6645.T,2003-01-02,2026-03-13,5756
6674.T,2003-01-02,2026-03-13,5756
6701.T,2003-01-02,2026-03-13,5756
6702.T,2003-01-02,2026-03-13,5756
6703.T,2003-01-02,2026-03-13,5756
6723.T,2003-07-24,2026-03-13,5611
6724.T,2003-01-02,2026-03-13,5756
6752.T,2003-01-02,2026-03-13,5756
6753.T,2003-01-02,2026-03-13,5756
6758.T,2003-01-02,2026-03-13,5756
6762.T,2003-01-02,2026-03-13,5756
6770.T,2003-01-02,2026-03-13,5756
6841.T,2003-01-02,2026-03-13,5756
6857.T,2003-01-02,2026-03-13,5756
6861.T,2003-01-02,2026-03-13,5756
6902.T,2003-01-02,2026-03-13,5756
6920.T,2010-02-22,2026-03-13,3948
6952.T,2003-01-02,2026-03-13,5756
6954.T,2003-01-02,2026-03-13,5756
6963.T,2003-01-02,2026-03-13,5756
6971.T,2003-01-02,2026-03-13,5756
6976.T,2003-01-02,2026-03-13,5756
6981.T,2003-01-02,2026-03-13,5756
6988.T,2003-01-02,2026-03-13,5756
7003.T,2003-01-02,2026-03-13,5756
7004.T,2003-01-02,2026-03-13,5756
7011.T,2003-01-02,2026-03-13,5756
7012.T,2004-11-05,2026-03-13,5275
7013.T,2003-01-02,2026-03-13,5756
